a4f33a37-39ef-4e94-8e23-2c801d762acb|Maison Lameloise|France|Chagny|36 place d'Armes, Chagny, 71150, France|46,907839|4,752992|100,00|false|true|Modern Cuisine
89c6114a-8795-4e6f-b746-27a0381bfe80|Le Coquillage|France|Saint-Méloir-des-Ondes|Lieu-dit Le Buot, Saint-Méloir-des-Ondes, 35350, France|48,643065|-1,871123|100,00|false|false|Creative, Seafood
383878eb-bbb5-4b76-a4bf-1f87913c66e8|Restaurant Marcon|France|Saint-Bonnet-le-Froid|Larsiallas, 18 chemin de Brard, Saint-Bonnet-le-Froid, 43290, France|45,138673|4,434268|100,00|false|false|Creative
81a09aba-7aa5-4e17-a138-06814537e994|Pierre Gagnaire|France|Paris|6 rue Balzac, Paris, 75008, France|48,873251|2,300386|100,00|false|false|Creative
dbd25699-b970-4827-85e8-d0ff78365572|La Vague d'Or - Cheval Blanc St-Tropez|France|Saint-Tropez|Plage de la Bouillabaisse, Saint-Tropez, 83990, France|43,266585|6,626154|100,00|false|true|Creative
9d2ec51a-b94e-438a-b732-3200d8f8ed23|Christopher Coutanceau|France|La Rochelle|Plage de la Concurrence, La Rochelle, 17000, France|46,155363|-1,159918|100,00|false|true|Seafood, Modern Cuisine
699e7aa8-d5f7-4c81-9eeb-b73809639d83|Troisgros - Le Bois sans Feuilles|France|Ouches|728 route de Villerest, Ouches, 42155, France|46,010330|3,992360|100,00|false|true|Creative
8b3e4d01-dc7d-4e2f-a923-a9885d19b45f|BRU|France|Paris|28 rue Jean-Baptiste-Pigalle, Paris, 75009, France|48,879410|2,333816|45,00|false|true|Modern Cuisine, Creole
5e56ab29-66a4-4b03-99bf-fede13ea244d|Matka|France|Paris|78 rue Quincampoix, Paris, 75003, France|48,862035|2,351084|45,00|false|false|Polish
f99882c9-cd0f-461e-adb4-d7bb74c9d189|Maison Brut|France|Paris|18 rue d'Abbeville, Paris, 75009, France|48,879297|2,349273|70,00|false|true|Modern Cuisine
8af68f7a-cb06-4e0d-8d3b-57eb6875a7c9|Première édition|France|Avignon|5 rue Prévôt, Avignon, 84000, France|43,946598|4,806368|45,00|false|false|Modern Cuisine
e74e84f5-a03c-482a-98fd-5e70e1766c37|La Marine|France|L'Herbaudière|3 rue Marie-Lemonnier, L'Herbaudière, 85330, France|47,023710|-2,299934|100,00|false|true|Creative, Seafood
ae279b7a-3b6e-49db-843a-5087bb381d06|Le Clos des Sens|France|Annecy|13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France|45,917632|6,144577|100,00|false|true|Creative
1035ce40-9ec9-4136-bc08-2ab7e4833a95|La Villa Madie|France|Cassis|Avenue de Revestel, Cassis, 13260, France|43,211089|5,544944|100,00|false|true|Creative
5c1fa84b-df8d-47e9-8398-297499fd428f|Assiette Champenoise|France|Reims|40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, France|49,247835|4,003267|100,00|false|false|Creative
fc7fabd9-2a84-48f3-842d-ffdb72349a9e|Mirazur|France|Menton|30 avenue Aristide-Briand, Menton, 06500, France|43,785930|7,528051|100,00|false|false|Creative
